FRN,ID471_Application_Number,BEN,Applicant_Name,TYPE_OF_CONNECTION,NUMBER_OF_LINES,DOWNLOAD_SPEED
2559977,937333,144649,CLEAR CREEK ELEM SCH DISTRICT,T1/DS-1,1,1.50
2559980,937359,144182,JOHN SWETT UNIFIED SCHOOL DIST,T1/DS-1,1,1.50
2559984,937359,144182,JOHN SWETT UNIFIED SCHOOL DIST,T1/DS-1,1,1.50
2559985,937359,144182,JOHN SWETT UNIFIED SCHOOL DIST,Cellular Wireless,30,4000
2559988,937174,126398,TALBOT COUNTY PUBLIC SCH DIST,Cellular Wireless,2,5
2559991,937174,126398,TALBOT COUNTY PUBLIC SCH DIST,DSL,1,7.10
2559993,937174,126398,TALBOT COUNTY PUBLIC SCH DIST,Fiber optic/OC-x,7,100
2559993,937174,126398,TALBOT COUNTY PUBLIC SCH DIST,Fiber optic/OC-x,1,1000
2559998,937224,130904,HURON SCHOOL DISTRICT,Fiber optic/OC-x,1,200
2560009,937348,131327,COVERT PUBLIC SCHOOL DISTRICT,Cable,1,40
2560012,937220,143870,GORMAN ELEM SCHOOL DISTRICT,DSL,1,5
2560019,937353,131338,HARTFORD PUBLIC SCHOOL DIST,DSL,1,6
2560021,937353,131338,HARTFORD PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2560022,937353,131338,HARTFORD PUBLIC SCHOOL DIST,Cable,1,40
2560043,937347,143770,LAGUNA BEACH UNIF SCH DISTRICT,T1/DS-1,2,1.50
2560046,937347,143770,LAGUNA BEACH UNIF SCH DISTRICT,Cellular Wireless,23,4000
2560053,937344,88389,OUR LADY OF GUADALUPE SCHOOL,Cable,1,12
2560056,937339,127497,ECHOLS COUNTY BOARD OF EDUCATION,Fiber optic/OC-x,1,20
2560057,936415,6020,WHITNEY HALL SCHOOL,Cellular Wireless,57,300
2560058,937368,125966,CARBONDALE AREA SCHOOL DIST,Cellular Wireless,10,1.10
2560062,936415,6020,WHITNEY HALL SCHOOL,Fiber optic/OC-x,1,100
2560063,936415,6020,WHITNEY HALL SCHOOL,Cable,1,50
2560067,937347,143770,LAGUNA BEACH UNIF SCH DISTRICT,DSL,1,2
2560070,937357,138195,SPEARVILLE TOWNSHIP LIBRARY,DSL,1,10
2560074,937363,143864,LAKESIDE UNION ELEM SCH DIST,DSL,1,25
2560079,937366,144474,MENDOCINO UNIF SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560089,937394,131331,DELTON KELLOGG SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2560092,937401,131334,GALESBURG-AUGUSTA COMM SCHOOLS,Cellular Wireless,3,1
2560093,937401,131334,GALESBURG-AUGUSTA COMM SCHOOLS,Fiber optic/OC-x,1,250
2560096,937400,144249,LARKSPUR-CORTE MADERA SCHOOL DIST,T1/DS-1,1,1.50
2560097,937391,22187,ST JOHN THE EVANGELIST SCHOOL,Fiber optic/OC-x,1,100
2560101,937410,143856,LINNS VALLEY-POSO FLAT UN S D,T1/DS-1,1,1.50
2560111,937410,143856,LINNS VALLEY-POSO FLAT UN S D,DSL,1,2
2560112,937410,143856,LINNS VALLEY-POSO FLAT UN S D,DSL,1,3
2560114,937428,88970,OUR LADY OF MT. CARMEL SCHOOL,Cable,1,6
2560128,937413,89728,OUR LADY QUEEN OF PEACE,Cable,1,16
2560130,936548,89761,TRUE CROSS SCHOOL,Cable,1,6
2560147,936978,89802,GALVESTON CATHOLIC SCHOOL,Cable,1,16
2560149,937336,89910,OUR LADY OF FATIMA SCHOOL-TEXAS CITY,Cable,1,6
2560173,937472,88587,QUEEN OF PEACE SCHOOL,Cable,1,50
2560174,937496,77642,ST PETER CATHOLIC SCHOOL,Cable,1,25
2560178,937475,144640,FEATHER FALLS UN SCHOOL DIST,Non-Cellular Wireless (e.g.microwave),2,8
2560193,937491,145441,CENTRAL VALLEY SCH DIST 356,Fiber optic/OC-x,4,1000
2560196,937495,16061400,DETROIT LEADERSHIP ACADEMY,Cellular Wireless,9,5
2560198,937495,16061400,DETROIT LEADERSHIP ACADEMY,DSL,5,12
2560199,937495,16061400,DETROIT LEADERSHIP ACADEMY,Fiber optic/OC-x,1,200
2560201,937495,16061400,DETROIT LEADERSHIP ACADEMY,Fiber optic/OC-x,1,200
2560204,937495,16061400,DETROIT LEADERSHIP ACADEMY,Non-Cellular Wireless (e.g.microwave),1,10
2560209,937499,22267,MOUNT CALVARY SCHOOL,DSL,1,20
2560211,937531,141099,CRANFILLS GAP INDEP SCH DIST,Non-Cellular Wireless (e.g.microwave),1,15
2560213,937538,144672,OROVILLE UNION HIGH SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560218,937484,16045138,OLD BETHEL CHRISTIAN ACADMEY,Cellular Wireless,3,15
2560221,937545,89070,SACRED HEART ELEMENTARY SCHOOL-CONROE,DSL,1,10
2560222,937546,89731,SACRED HEART ELEMENTARY SCHOOL-CROSBY,Cable,1,6
2560225,937517,16067167,AMERICAN MONTESSORI ACADEMY - UPPER ELEMENTARY,DSL,1,3
2560226,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,10
2560227,937477,128460,UNION CITY SCHOOLS,Fiber optic/OC-x,1,65
2560228,937480,88789,REGIS SCHOOL,Cable,1,18
2560229,937479,57699,GRANDVILLE CHRISTIAN SCHOOL,Fiber optic/OC-x,1,3
2560231,937479,57699,GRANDVILLE CHRISTIAN SCHOOL,Cable,1,50
2560235,937482,144669,GOLDEN FEATHER UN SCHOOL DIST,Non-Cellular Wireless (e.g.microwave),2,3
2560236,937483,131526,GRANDVILLE PUBLIC SCH DISTRICT,Fiber optic/OC-x,1,500
2560238,937483,131526,GRANDVILLE PUBLIC SCH DISTRICT,Cellular Wireless,12,1
2560239,937395,70953,ST PAUL LUTHERAN SCHOOL,Cable,1,12
2560248,937468,126833,LEXINGTON CITY SCHOOL DISTRICT,Cable,5,500
2560248,937468,126833,LEXINGTON CITY SCHOOL DISTRICT,Cable,1,1024
2560267,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,10
2560268,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,DSL,1,10
2560269,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,10
2560270,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,10
2560271,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,10
2560272,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,768
2560273,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,1000
2560274,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,2
2560275,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,768
2560276,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,2
2560277,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,2
2560279,937549,140171,JIM LUCAS CHECOTAH PUBLIC LIB,T1/DS-1,1,1.50
2560280,937549,140171,JIM LUCAS CHECOTAH PUBLIC LIB,T1/DS-1,1,1.50
2560281,937549,140171,JIM LUCAS CHECOTAH PUBLIC LIB,Fiber optic/OC-x,1,45
2560282,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Fiber optic/OC-x,1,1000
2560283,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Fiber optic/OC-x,1,1000
2560285,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Fiber optic/OC-x,1,1000
2560287,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Fiber optic/OC-x,1,1000
2560304,937602,145441,CENTRAL VALLEY SCH DIST 356,Fiber optic/OC-x,21,51.48
2560306,937597,125338,BEDFORD COUNTY FED LIBRARY SYS,DSL,3,20
2560310,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,10
2560311,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,50,100
2560318,937153,78612,BRUNING - DAVENPORT UNIFIED SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560323,937558,131343,LAWRENCE PUBLIC SCHOOL DIST,Cable,3,30
2560324,937558,131343,LAWRENCE PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2560325,937557,127362,LUMPKIN COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560334,937562,194410,KANSAS PUBLIC LIBRARY,T1/DS-1,1,1.50
2560335,937562,194410,KANSAS PUBLIC LIBRARY,T1/DS-1,1,1.50
2560336,937562,194410,KANSAS PUBLIC LIBRARY,Fiber optic/OC-x,1,45
2560341,937564,131362,PAW PAW PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2560343,937564,131362,PAW PAW PUBLIC SCHOOLS,Cable,1,40
2560349,936899,127834,FORT MYERS BEACH FREE PUB LIB,Cable,1,100
2560365,937552,128701,CATHOLIC DIOCESE OF BILOXI,T1/DS-1,8,1.50
2560365,937552,128701,CATHOLIC DIOCESE OF BILOXI,T1/DS-1,8,1.50
2560366,937595,140407,MULDROW PUBLIC LIBRARY,T1/DS-1,1,1.50
2560367,937595,140407,MULDROW PUBLIC LIBRARY,Fiber optic/OC-x,1,45
2560370,937589,138879,FRANKLIN PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,200
2560377,937574,123458,HAMILTON TWP PUBLIC LIBRARY,Fiber optic/OC-x,1,10
2560385,937574,123458,HAMILTON TWP PUBLIC LIBRARY,Fiber optic/OC-x,1,100
2560397,937594,138442,CENTENNIAL PUBLIC SCHOOLS,Fiber optic/OC-x,1,1000
2560400,937153,78612,BRUNING - DAVENPORT UNIFIED SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560404,937611,138520,HOWELLS-DODGE CONSOLIDATED,T3/DS-3,1,45
2560405,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560408,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560412,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560414,937622,138405,CONESTOGA PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2560415,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560416,937622,138405,CONESTOGA PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2560417,937573,128149,ATMORE PUBLIC LIBRARY,DSL,1,10
2560422,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560424,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560430,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,250
2560432,937561,138156,BUCKLIN UNIF SCH DISTRICT 459,Fiber optic/OC-x,1,20
2560435,937087,127070,APPALACHIAN REGIONAL LIBRARY,Cellular Wireless,1,1.20
2560442,937604,17774,OUR LADY OF MOUNT CARMEL SCH,Fiber optic/OC-x,1,100
2560447,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560450,936252,128627,SIMPSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560452,937624,138520,HOWELLS-DODGE CONSOLIDATED,T3/DS-3,1,45
2560459,937616,139540,VILONIA PUBLIC SCHOOL DISTRICT,Cellular Wireless,17,20
2560464,936798,139468,BALD KNOB PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,150
2560468,937609,125224,SOUTH ALLEGHENY SCHOOL DIST,Fiber optic/OC-x,2,1000
2560470,937517,16067167,AMERICAN MONTESSORI ACADEMY - UPPER ELEMENTARY,Cable,1,100
2560475,937583,129230,CLYDE-GREEN SPGS VLG SCH DIST,Fiber optic/OC-x,1,100
2560484,937580,63115,OUR LADY OF SORROWS SCHOOL,DSL,28,20
2560486,937617,131380,THREE RIVERS PUBLIC LIBRARY,DSL,3,3
2560490,937640,56423,FAITH COMM CHRISTIAN SCHOOL,DSL,1,3
2560499,937651,220423,HIGH PLAINS COMMUNITY SCHOOL DISTRICT,DSL,1,6
2560504,937652,16033071,CATHOLIC SCHOOLS OF GREATER KALAMAZOO,Fiber optic/OC-x,3,100
2560507,937087,127070,APPALACHIAN REGIONAL LIBRARY,DSL,1,5
2560509,937604,17774,OUR LADY OF MOUNT CARMEL SCH,Fiber optic/OC-x,1,100
2560519,937512,126400,DORCHESTER CO SCHOOL DISTRICT,Fiber optic/OC-x,1,10
2560519,937512,126400,DORCHESTER CO SCHOOL DISTRICT,Fiber optic/OC-x,12,100
2560530,937512,126400,DORCHESTER CO SCHOOL DISTRICT,Cellular Wireless,7,5
2560531,937656,115033,SEATTLE PREP MATTEO RICCI COLL,Fiber optic/OC-x,18,50
2560533,937656,115033,SEATTLE PREP MATTEO RICCI COLL,Fiber optic/OC-x,8,1544
2560554,937512,126400,DORCHESTER CO SCHOOL DISTRICT,Cable,2,25
2560555,937632,141872,STRATFORD INDEP SCHOOL DIST,Cellular Wireless,6,4
2560562,937632,141872,STRATFORD INDEP SCHOOL DIST,Fiber optic/OC-x,1,50
2560563,937681,16050057,PAVE ACADEMY CHARTER SCHOOL,Cellular Wireless,45,2
2560566,937681,16050057,PAVE ACADEMY CHARTER SCHOOL,Cable,1,50
2560569,937647,140164,MUSKOGEE PUBLIC LIBRARY,Fiber optic/OC-x,1,100
2560570,937662,16065001,PARAMOUNT BARD ACADEMY,DSL,1,12
2560571,937677,16033512,DOUGLAS COUNTY WEST COMMUNITY SCHOOLS,Fiber optic/OC-x,1,1000
2560573,937677,16033512,DOUGLAS COUNTY WEST COMMUNITY SCHOOLS,Fiber optic/OC-x,1,1000
2560578,937662,16065001,PARAMOUNT BARD ACADEMY,Cellular Wireless,4,4000
2560582,937620,130099,SHAWNEE SCHOOL DISTRICT,Fiber optic/OC-x,1,200
2560586,937691,57135,ST MARY SCHOOL,Fiber optic/OC-x,1,30
2560592,937694,138357,DESHLER PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560597,937688,137396,WARSAW SCHOOL DISTRICT R 9,DSL,1,5
2560602,937678,136666,LINCOLN HIGH SCH DISTRICT 404,Cable,1,10
2560609,937687,220423,HIGH PLAINS COMMUNITY SCHOOL DISTRICT,T3/DS-3,1,45
2560611,937632,141872,STRATFORD INDEP SCHOOL DIST,Fiber optic/OC-x,1,50
2560616,937713,16066315,ST MARY AND ALL ANGELS,Fiber optic/OC-x,1,100
2560617,937714,141370,NEDERLAND ISD,Fiber optic/OC-x,1,100
2560618,937592,137580,OLATHE PUBLIC LIBRARY,Fiber optic/OC-x,1,100
2560621,937034,136184,ALPHA PARK PUBLIC LIBRARY DIST,Fiber optic/OC-x,1,5
2560622,937087,127070,APPALACHIAN REGIONAL LIBRARY,Fiber optic/OC-x,1,20
2560623,937669,139565,EAST POINSETT CO SCHOOL DIST,Fiber optic/OC-x,1,50
2560624,937669,139565,EAST POINSETT CO SCHOOL DIST,Fiber optic/OC-x,1,25
2560625,937087,127070,APPALACHIAN REGIONAL LIBRARY,Fiber optic/OC-x,2,20
2560627,937660,126860,FRANKLIN COUNTY SCHOOL DIST,Fiber optic/OC-x,20,1000
2560632,937701,56821,KALAMAZOO COUNTRY DAY,Fiber optic/OC-x,1,50
2560641,937707,138414,DILLER - ODELL PUBLIC SCHOOLS,Fiber optic/OC-x,1,1000
2560643,937707,138414,DILLER - ODELL PUBLIC SCHOOLS,Fiber optic/OC-x,1,1000
2560649,936331,127707,INDIAN RIVER COUNTY LIBRARY,T3/DS-3,1,45
2560650,937732,152282,KALAMAZOO CHRISTIAN SCHOOL ASSOCIATION,Fiber optic/OC-x,1,200
2560652,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,T1/DS-1,1,1.50
2560657,936317,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,T1/DS-1,6,1.50
2560665,937512,126400,DORCHESTER CO SCHOOL DISTRICT,T1/DS-1,2,1.50
2560687,937087,127070,APPALACHIAN REGIONAL LIBRARY,Fiber optic/OC-x,2,5
2560687,937087,127070,APPALACHIAN REGIONAL LIBRARY,Fiber optic/OC-x,1,20
2560693,937739,130520,LAWRENCEBURG PUBLIC LIBRARY,Cellular Wireless,1,5
2560700,937745,144426,BANTA ELEM SCHOOL DISTRICT,Cable,2,100
2560702,937745,144426,BANTA ELEM SCHOOL DISTRICT,T1/DS-1,2,1.50
2560703,937751,138235,ELKHORN PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2560704,937736,138194,SPEARVILLE UNIF SCH DIST 381,Fiber optic/OC-x,1,40
2560708,937753,57527,BYRON CENTER CHRISTIAN SCH,Cable,1,50
2560718,937759,134790,ELDER GROVE ELEM SCHOOL DIST 8,Non-Cellular Wireless (e.g.microwave),1,30
2560726,937764,144572,MOTHER LODE UN ELEM SCH DIST,T1/DS-1,1,1.50
2560727,937770,130354,BREMEN PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2560734,937764,144572,MOTHER LODE UN ELEM SCH DIST,Fiber optic/OC-x,4,100
2560738,936796,125415,JOHNSONBURG AREA SCHOOL DIST,Fiber optic/OC-x,1,1000
2560742,937762,128047,CHEROKEE COUNTY SCHOOL DIST,Fiber optic/OC-x,8,1000
2560753,937765,140179,Q B BOYDSTUN LIBRARY,T1/DS-1,1,1.50
2560754,937790,145161,HUNTINGTON SCHOOL DIST 16 J,T1/DS-1,1,1.50
2560755,937765,140179,Q B BOYDSTUN LIBRARY,Fiber optic/OC-x,1,45
2560756,937773,143882,MARICOPA UNIFIED SCHOOL DIST,Fiber optic/OC-x,1,100
2560759,937790,145161,HUNTINGTON SCHOOL DIST 16 J,T1/DS-1,1,1.50
2560769,937791,144097,GREENFIELD UNION SCH DIST,T1/DS-1,7,1.50
2560771,937752,143559,THOUSAND OAKS LIBRARY,Fiber optic/OC-x,1,20
2560778,937793,139955,NORTH WEST TECHNOLOGY CENTER SCHOOL DIST # 10,Fiber optic/OC-x,1,5
2560784,937793,139955,NORTH WEST TECHNOLOGY CENTER SCHOOL DIST # 10,Fiber optic/OC-x,1,100
2560787,937791,144097,GREENFIELD UNION SCH DIST,T3/DS-3,1,45
2560788,937796,131277,KALAMAZOO REGIONAL EDUCATIONAL SERVICE AGENCY,Fiber optic/OC-x,1,120
2560789,937772,126608,GALAX CITY SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2560790,937796,131277,KALAMAZOO REGIONAL EDUCATIONAL SERVICE AGENCY,Fiber optic/OC-x,1,12
2560792,937739,130520,LAWRENCEBURG PUBLIC LIBRARY,T1/DS-1,36,1.50
2560802,937791,144097,GREENFIELD UNION SCH DIST,Fiber optic/OC-x,1,1000
2560803,937777,144545,EL DORADO UNION H S DISTRICT,Cellular Wireless,9,4000
2560808,937791,144097,GREENFIELD UNION SCH DIST,Cellular Wireless,34,5000
2560809,937797,124975,WAYLAND-COHOCTON CTRL SCH DIST,Cellular Wireless,10,25
2560811,937793,139955,NORTH WEST TECHNOLOGY CENTER SCHOOL DIST # 10,Fiber optic/OC-x,1,50
2560813,937791,144097,GREENFIELD UNION SCH DIST,Fiber optic/OC-x,2,100
2560815,937793,139955,NORTH WEST TECHNOLOGY CENTER SCHOOL DIST # 10,Fiber optic/OC-x,1,100
2560817,937791,144097,GREENFIELD UNION SCH DIST,Fiber optic/OC-x,3,100
2560818,937780,131179,BELDING AREA SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2560819,937777,144545,EL DORADO UNION H S DISTRICT,Fiber optic/OC-x,10,1000
2560822,936394,139256,JEFFERSON DAVIS PARISH LIBRARY,Fiber optic/OC-x,5,10
2560823,937793,139955,NORTH WEST TECHNOLOGY CENTER SCHOOL DIST # 10,Fiber optic/OC-x,1,50
2560826,937777,144545,EL DORADO UNION H S DISTRICT,T1/DS-1,7,1.50
2560827,937620,130099,SHAWNEE SCHOOL DISTRICT,Fiber optic/OC-x,1,200
2560828,937808,138404,ELMWOOD-MURDOCK PUBLIC SCHOOLS,Fiber optic/OC-x,1,1000
2560834,937596,138044,LEWIS USD 502,DSL,1,50
2560837,937666,138664,PIERCE PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2560838,937814,138367,FAIRBURY PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,1000
2560840,937596,138044,LEWIS USD 502,DSL,1,50
2560854,936394,139256,JEFFERSON DAVIS PARISH LIBRARY,Fiber optic/OC-x,5,10
2560855,937786,131277,KALAMAZOO REGIONAL EDUCATIONAL SERVICE AGENCY,Fiber optic/OC-x,1,800
2560858,937659,205686,MARGARET JONES MEMORIAL LIBRARY,DSL,1,50
2560868,937799,16041691,DECATUR COUNTY BOARD OF EDUCATION,Fiber optic/OC-x,1,100
2560869,937596,138044,LEWIS USD 502,DSL,1,50
2560878,937620,130099,SHAWNEE SCHOOL DISTRICT,Cellular Wireless,1,6
2560880,937849,144753,OAK RUN ELEMENTARY SCHOOL DISTRICT,T1/DS-1,1,1.50
2560881,937820,131345,LAWTON COMM SCHOOL DISTRICT,Cable,2,50
2560883,937820,131345,LAWTON COMM SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2560886,937849,144753,OAK RUN ELEMENTARY SCHOOL DISTRICT,T1/DS-1,1,1.50
2560894,937844,124982,WYOMING CENTRAL SCHOOL DIST,Cellular Wireless,14,25
2560895,937775,126963,CLEVELAND COUNTY MEMORIAL LIB,Fiber optic/OC-x,1,50
2560900,937823,141504,BEEVILLE INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,200
2560903,937841,141677,RIO GRANDE CITY SCHOOL DIST,Fiber optic/OC-x,13,1000
2560909,937849,144753,OAK RUN ELEMENTARY SCHOOL DISTRICT,T1/DS-1,1,1.50
2560911,937511,140059,DAVENPORT INDEP SCHOOL DIST 3,Dial-up,2,0.0560
2560911,937511,140059,DAVENPORT INDEP SCHOOL DIST 3,DSL,3,4
2560911,937511,140059,DAVENPORT INDEP SCHOOL DIST 3,Fiber optic/OC-x,1,50
2560913,937838,128735,WEBSTER COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2560915,937852,138557,CROSS COUNTY COMMUNITY SCHOOLS,Fiber optic/OC-x,1,100
2560917,937838,128735,WEBSTER COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,6,1000
2560924,937781,140988,HUCKABAY INDEP SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,20
2560929,937870,141370,NEDERLAND ISD,Fiber optic/OC-x,9,1024
2560937,937882,144528,ORICK ELEMENTARY SCHOOL DIST,T1/DS-1,1,1.50
2560943,937882,144528,ORICK ELEMENTARY SCHOOL DIST,T1/DS-1,1,1.50
2560948,937858,144176,CALISTOGA JT UNIF SCHOOL DIST,Fiber optic/OC-x,2,1000
2560949,937679,141976,DAWSON INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,11
2560950,937775,126963,CLEVELAND COUNTY MEMORIAL LIB,Cable,2,7
2560950,937775,126963,CLEVELAND COUNTY MEMORIAL LIB,Cable,1,15
2560962,937847,137961,ABILENE UNIF SCH DISTRICT 435,Fiber optic/OC-x,1,150
2560963,937867,144498,EUREKA CITY SCHOOL DISTRICT,Fiber optic/OC-x,8,100
2560966,937867,144498,EUREKA CITY SCHOOL DISTRICT,Fiber optic/OC-x,1,90
2560976,937875,145441,CENTRAL VALLEY SCH DIST 356,Fiber optic/OC-x,2,1000
2560980,937890,123423,VENTNOR CITY PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2560987,937891,144703,HAPPY VALLEY UN ELEM SCH DIST,T1/DS-1,4,1.50
2560991,937891,144703,HAPPY VALLEY UN ELEM SCH DIST,Cellular Wireless,1,1000
2560992,937887,138174,JETMORE UNIF SCHOOL DIST 227,Fiber optic/OC-x,1,30
2560993,937891,144703,HAPPY VALLEY UN ELEM SCH DIST,Cable,1,100
2560994,937891,144703,HAPPY VALLEY UN ELEM SCH DIST,Cable,1,100
2560996,937895,144250,MILL VALLEY ELEM SCH DISTRICT,T1/DS-1,7,1.50
2560998,937891,144703,HAPPY VALLEY UN ELEM SCH DIST,T1/DS-1,2,1.50
2561001,937891,144703,HAPPY VALLEY UN ELEM SCH DIST,T1/DS-1,6,1.50
2561002,937887,138174,JETMORE UNIF SCHOOL DIST 227,Fiber optic/OC-x,1,30
2561003,937894,141677,RIO GRANDE CITY SCHOOL DIST,Fiber optic/OC-x,1,1000
2561010,937892,131346,MARCELLUS COMMUNITY SCH DIST,Fiber optic/OC-x,1,30
2561011,937892,131346,MARCELLUS COMMUNITY SCH DIST,Fiber optic/OC-x,1,10
2561012,937124,13611,DARROW SCHOOL,Cellular Wireless,6,5
2561017,937816,151262,RIEGER MEMORIAL LIBRARY,T1/DS-1,1,1.50
2561019,937816,151262,RIEGER MEMORIAL LIBRARY,Fiber optic/OC-x,1,45
2561020,937914,131484,FREEPORT DISTRICT LIBRARY,DSL,1,8
2561025,937898,141109,IREDELL INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,6
2561027,937878,142123,ADAMS COUNTY SCHOOL DIST 14,Fiber optic/OC-x,15,1000
2561030,937816,151262,RIEGER MEMORIAL LIBRARY,T1/DS-1,1,1.50
2561034,937866,132973,MINERAL POINT SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2561037,937903,144754,JUNCTION ELEM SCHOOL DISTRICT,Cable,1,5
2561041,937903,144754,JUNCTION ELEM SCHOOL DISTRICT,Cable,1,5
2561042,937901,145162,JORDAN VALLEY SCHOOL DISTRICT 3,T1/DS-1,1,1.50
2561044,937901,145162,JORDAN VALLEY SCHOOL DISTRICT 3,T1/DS-1,1,1.50
2561045,937901,145162,JORDAN VALLEY SCHOOL DISTRICT 3,T1/DS-1,1,1.50
2561046,937906,141677,RIO GRANDE CITY SCHOOL DIST,Cellular Wireless,19,1
2561055,937917,135046,ALDER-UPPER RUBY SCHOOL DIST 2,DSL,1,1
2561062,937922,140415,STANLEY TUBBS MEMORIAL LIBRARY,Fiber optic/OC-x,1,100
2561063,937949,141227,HARRIS COUNTY PUBLIC LIBRARY,Fiber optic/OC-x,1,10
2561064,937949,141227,HARRIS COUNTY PUBLIC LIBRARY,Fiber optic/OC-x,1,10
2561066,937949,141227,HARRIS COUNTY PUBLIC LIBRARY,Fiber optic/OC-x,1,10
2561073,937933,144466,LAKEPORT UNIF SCHOOL DISTRICT,T1/DS-1,2,1.50
2561076,937935,144376,KEYES UNION ELEM SCHOOL DIST,Cellular Wireless,4,1000
2561078,937935,144376,KEYES UNION ELEM SCHOOL DIST,T1/DS-1,2,1.50
2561079,937923,16026086,NIXYAAWII COMMUNITY SCHOOL,Fiber optic/OC-x,1,100
2561080,937935,144376,KEYES UNION ELEM SCHOOL DIST,Cable,1,100
